Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM,Actual_Strat,Pred_Strat,Is_Equal,LAT,LONG,rock_type
300.0,5.400000095,210.5,0.1,0.7,9.6,77.5,37.76,5.0,110.0,280.0,1.79,37.4,6.08,0.56,3.5,0.6,37.5,0.04,0.4,0.08,0.4,68.0,-0.1,131.6,11.5,15700.00052,4900.0,22500.0,900.0,4600.0,440.0,1290.0,1000.0,220.0,TrJTk,TrJTk,True,54.13241,-123.3686,volcaniclastic rocks
600.0,28.70000076,53.0,0.14,0.93,12.8,71.5,60.71,4.1,295.0,2166.0,7.79,65.7,8.4,0.86,6.5,1.9,53.5,0.06,0.9,0.16,2.7,88.0,-0.1,124.9,18.0,16799.999480000002,10300.0,39700.0,600.0,4400.0,310.0,760.0,6600.0,230.0,TrJTk,CPSm,False,54.64764,-123.86818,basaltic volcanic rocks
80.0,27.10000038,93.0,0.06,0.16,4.3,66.5,21.72,2.4,80.0,880.0,3.49,24.6,3.4,0.58,3.4,1.6,27.0,-0.02,1.5,0.06,5.2,72.0,-0.1,40.5,8.0,5500.000120000001,5900.0,26600.0,-100.0,2300.0,370.0,3690.0,3000.0,300.0,MTrCc,MTrCc,True,53.74554,-123.60628,basaltic volcanic rocks
560.0,1.899999976,198.5,0.04,0.2,2.2,24.5,38.16,3.0,190.0,53.0,0.37,24.2,5.71,0.64,2.1,1.5,93.5,0.02,1.0,0.02,1.4,26.0,-0.1,11.6,14.0,9900.000100000001,12900.0,4400.0,200.0,1800.0,310.0,1250.0,2000.0,50.0,TrJTk,CPSm,False,54.09702,-123.32414,volcaniclastic rocks
480.0,5.800000191,230.5,0.06,2.12,16.1,90.0,49.36,5.9,375.0,297.0,2.24,97.4,5.4,0.48,7.7,1.7,73.5,0.06,1.2,0.28,1.5,54.0,-0.1,165.6,14.0,22100.00038,10900.0,27599.999999999996,300.0,8500.0,410.0,1040.0,4400.0,390.0,TrJTk,TrJTk,True,54.60538,-122.98395,basaltic volcanic rocks
100.0,16.39999962,66.0,0.06,0.81,7.0,85.0,19.41,2.3,65.0,228.0,8.66,29.3,6.74,1.04,3.8,12.8,69.5,0.02,1.5,0.06,2.1,62.0,-0.1,71.5,6.5,6499.999760000001,23600.0,24800.0,400.0,2800.0000000000005,350.00000000000006,690.0000000000001,10200.0,240.0,TrJTk,TrJTk,True,54.04331,-123.0939,volcaniclastic rocks
660.0,4.599999905,211.5,0.12,1.71,5.4,48.0,69.57,4.1,180.0,167.0,6.73,40.5,9.73,1.0,1.3,1.2,42.0,0.04,0.7,0.08,0.7,68.0,-0.1,152.7,12.5,14400.00057,5400.0,8800.0,600.0,2700.0,310.0,1470.0,2400.0,60.0,TrJTk,TrJTk,True,54.07368,-123.30744,volcaniclastic rocks
320.0,11.10000038,343.0,0.2,0.42,18.6,56.5,60.43,9.4,90.0,483.0,1.9,63.4,9.79,0.76,10.1,0.6,40.5,0.06,1.5,0.14,0.6,96.0,-0.1,167.7,13.0,30000.0,4700.0,44800.00000000001,2300.0,8900.0,429.99999999999994,1140.0,1000.0,130.0,TrJTk,TrJTk,True,54.17409,-123.53015,volcaniclastic rocks
240.0,32.5,37.5,0.04,0.68,8.0,62.0,32.81,2.7,5.0,309.0,1.32,59.0,1.41,-0.02,3.1,0.9,78.0,-0.02,0.4,-0.02,2.6,40.0,-0.1,82.8,7.0,6899.99998,8000.0,13300.0,100.0,5600.000000000001,410.0,770.0,4800.0,200.0,TrJTk,TrJTk,True,54.39379,-123.13034,basaltic volcanic rocks
180.0,2.099999905,206.5,0.04,0.86,7.2,40.0,27.78,2.3,170.0,176.0,1.2,52.4,6.21,0.46,1.1,1.2,28.5,-0.02,-0.1,0.08,0.9,20.0,-0.1,81.9,13.5,11000.000240000001,7000.0,6600.0,200.0,1700.0000000000002,260.0,1280.0,2400.0,70.0,TrJTk,TrJTk,True,54.35851,-122.72244,basaltic volcanic rocks
340.0,4.900000095,54.5,0.02,0.88,11.3,56.0,46.07,2.9,265.0,228.0,1.49,64.1,4.06,0.4,4.7,1.4,56.0,0.06,0.6,0.14,1.0,32.0,-0.1,104.3,5.5,11299.99995,12500.0,17000.0,200.0,4600.0,429.99999999999994,630.0,7000.0,250.0,TrJTk,TrJTk,True,54.56745,-123.01209,basaltic volcanic rocks
160.0,2.5,138.0,0.08,0.79,7.8,63.0,28.71,5.2,75.0,205.0,0.91,33.4,4.21,0.52,5.0,0.6,49.5,0.02,2.4,0.1,0.9,42.0,-0.1,92.9,10.5,16000.000240000001,8800.0,18800.0,800.0,5300.0,440.0,630.0,1200.0,490.0,uTrJNc,TrJTk,False,53.22069,-122.57879,volcaniclastic rocks
260.0,6.199999809,150.0,0.08,0.9,10.0,49.0,40.87,3.7,105.0,326.0,2.29,58.3,1.46,0.28,3.3,2.3,44.5,0.02,0.5,0.04,1.4,40.0,-0.1,148.9,10.0,10000.0,7200.0,16700.0,400.0,4000.0,400.0,1330.0,4000.0,200.0,TrJTk,TrJTk,True,54.13558,-123.03248,"mudstone, siltstone, shale fine clastic sedimentary rocks"
260.0,8.0,254.0,0.18,0.8,19.5,59.5,62.34,9.6,70.0,377.0,4.54,56.8,9.49,0.78,10.7,1.1,64.0,0.1,2.3,0.18,2.4,122.0,-0.1,150.4,14.0,30399.99962,10300.0,40100.0,2400.0,11100.000000000002,700.0000000000001,9800.0,3200.0,890.0,TrJTk,TrJTk,True,53.73192,-123.06371,volcaniclastic rocks
280.0,8.0,17.5,0.02,0.66,2.2,37.5,27.18,0.7,95.0,140.0,6.21,15.2,5.41,1.24,1.9,4.4,35.5,0.04,0.2,0.08,2.7,6.0,-0.1,56.0,5.0,2800.00001,9600.0,8100.000000000001,200.0,1000.0,310.0,560.0,10800.0,110.0,KTpg,TrJTk,False,54.70418,-123.55889,paragneiss metamorphic rocks
100.0,18.5,107.5,0.04,0.23,4.6,26.0,19.09,2.1,45.0,230.0,5.56,20.7,3.5,0.32,2.3,2.6,209.0,0.06,0.4,0.08,2.3,30.0,-0.1,35.2,4.0,6000.000239999999,97300.0,14500.0,600.0,3000.0,380.0,620.0,7600.0,200.0,MTrCc,CPSm,False,53.43267,-123.20172,"chert, siliceous argillite, siliciclastic rocks"
