,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
843,ID093J071694,54.32165,-123.50351,TrJTk,178.8,139.52
255,ID093G073138,53.70687,-122.02776,TrJTk,92.3,107.99
1496,ID093J073892,54.59275,-122.9796,TrJTk,107.4,119.84
469,ID093J071054,54.13222,-123.81734,MTrCc,116.9,92.19
977,ID093J071845,54.20323,-123.40922,TrJTk,142.7,139.47
1303,ID093J073677,54.48101,-123.0902,TrJTk,125.1,136.18
1947,ID093O075035,55.00649,-123.10519,TrJTk,83.6,81.29
1343,ID093J073722,54.01973,-122.91149,TrJTk,101.2,114.29
1578,ID093J075026,54.9721,-123.1288,TrJTk,57.6,53.1
293,ID093G073200,53.879,-122.44607,TrJTk,16.6,37.72
1486,ID093J073880,54.54283,-122.76653,CPSm,135.3,130.35
105,ID093G071971,53.64312,-123.52647,PJml,43.4,60.26
1431,ID093J073819,54.32651,-122.55463,KTpg,71.7,44.37
1573,ID093J075020,54.98785,-123.21787,TrJTk,164.2,133.83
1687,ID093J075162,54.71956,-123.07512,KTpg,101.1,116.68
238,ID093G073119,53.737,-122.28789,MJqm,79.3,86.61
753,ID093J071593,54.56612,-123.45355,KTpg,133.7,138.4
1243,ID093J073609,54.32501,-123.22867,TrJTk,122.3,133.95
881,ID093J071736,54.38454,-123.52444,TrJTk,152.4,133.14
1652,ID093J075123,54.80476,-123.01024,TrJTk,89.0,76.79
1428,ID093J073816,54.34632,-122.64482,CPSm,143.6,117.22
734,ID093J071572,54.68713,-123.49393,KTpg,92.9,91.79
212,ID093G073090,53.33362,-122.41888,uTrJNc,62.6,124.62
1096,ID093J073442,54.44987,-123.32841,TrJTk,258.7,195.16
39,ID093G071898,53.99955,-123.18253,TrJTk,233.7,197.57
323,ID093G073234,53.72179,-123.61655,MTrCc,68.1,59.78
1583,ID093J075032,54.99491,-123.13261,TrJTk,8.0,25.38
226,ID093G073106,53.6977,-122.51563,TrJTk,121.7,117.77
1707,ID093K071365,54.45753,-124.04433,TrJTk,21.6,26.29
1130,ID093J073479,54.08541,-123.0803,TrJTk,140.5,121.14
1351,ID093J073731,54.22645,-122.72223,TrJTk,62.6,89.26
281,ID093G073179,53.81709,-122.02993,CPSm,60.9,59.82
1909,ID093O073931,55.12478,-123.32155,OMEa,52.6,88.74
1237,ID093J073603,54.4276,-123.27346,TrJTk,93.6,99.0
1480,ID093J073873,54.59606,-122.74909,CPSm,66.7,44.25
1797,ID093N071310,55.14958,-124.0753,TrJTk,41.7,64.02
184,ID093G073059,53.50472,-122.58423,TrJTk,68.6,96.88
1436,ID093J073825,54.29869,-122.50445,KTpg,120.7,120.8
785,ID093J071628,54.48561,-123.4367,TrJTk,124.6,125.33
