,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
1657,ID093J075129,54.77572,-123.01749,CPSm,38.25,43.46
906,ID093J071764,54.73864,-123.1708,KTpg,32.19,36.99
791,ID093J071634,54.4938,-123.52669,TrJTk,47.7,43.23
245,ID093G073127,53.71344,-122.14828,TrJTk,29.41,33.04
520,ID093J071110,54.78168,-123.65964,KTpg,36.7,45.28
1664,ID093J075136,54.80007,-122.93873,CPSm,56.95,61.16
1862,ID093O072440,55.1935,-123.6771,TrJTk,42.82,56.99
1090,ID093J073434,54.39989,-123.42303,TrJTk,41.73,41.75
882,ID093J071737,54.39785,-123.53933,TrJTk,23.73,35.55
467,ID093J071052,54.14464,-123.85908,MTrCc,47.2,43.7
1492,ID093J073887,54.57193,-122.84818,uKTS,42.65,46.57
1154,ID093J073511,54.10483,-123.0106,TrJTk,35.52,35.04
1016,ID093J071890,54.056,-123.1998,TrJTk,13.28,17.18
886,ID093J071742,54.42617,-123.60195,TrJTk,37.85,36.7
128,ID093G071996,53.38567,-123.34416,MTrCc,25.14,28.28
493,ID093J071080,54.54265,-123.96262,TrJTk,22.18,27.64
657,ID093J071404,54.92381,-123.74131,KTpg,32.86,27.76
12,ID093G071015,53.54473,-122.95417,TrJTk,47.89,54.43
1284,ID093J073656,54.51062,-123.26643,TrJTk,43.27,41.92
461,ID093J071046,54.11508,-123.68497,LTQCh,37.59,34.38
1405,ID093J073790,54.52921,-123.15862,TrJTk,51.27,50.29
672,ID093J071493,54.95032,-123.56299,KTpg,27.8,36.05
1584,ID093J075034,54.99763,-123.09503,TrJTk,43.49,43.92
919,ID093J071778,54.75884,-123.13063,KTpg,26.09,39.65
1739,ID093N071178,55.02373,-124.79382,TrJTk,46.77,55.17
201,ID093G073078,53.21774,-122.33256,Kgr,25.96,32.43
491,ID093J071078,54.34665,-123.9281,MTrCc,66.89,56.02
978,ID093J071847,54.1963,-123.37234,TrJTk,40.79,39.27
639,ID093J071384,54.6651,-123.75481,TrJTk,13.64,42.03
1148,ID093J073504,54.05976,-123.02252,TrJTk,36.0,35.68
1762,ID093N071204,55.03022,-124.24651,lJCl,31.9,41.14
637,ID093J071382,54.68207,-123.77095,TrJTk,18.73,30.57
1835,ID093O072334,55.13066,-123.88978,TrJTk,119.2,76.39
841,ID093J071692,54.31692,-123.4372,TrJTk,59.35,52.5
959,ID093J071823,54.43303,-123.90648,TrJTk,64.21,61.66
1450,ID093J073840,54.5453,-122.57361,SDs,28.34,34.68
1281,ID093J073653,54.51311,-123.12919,TrJTk,76.46,68.78
1566,ID093J073991,54.9557,-123.20761,TrJTk,57.73,55.39
228,ID093G073108,53.69979,-122.47121,TrJTk,38.31,35.54
26,ID093G071030,53.60789,-122.9286,LTQCh,42.63,47.42
349,ID093G073263,53.67825,-123.74905,ETOo,27.54,39.11
1034,ID093J073359,54.14328,-123.38093,TrJTk,46.54,48.44
1302,ID093J073676,54.46616,-123.10951,TrJTk,63.6,64.44
174,ID093G073048,53.29432,-122.66326,uTrJNc,48.91,65.0
277,ID093G073174,53.77772,-122.36666,TrJTk,37.81,48.38
